name,position_number,bank_number,active,parent_node,tree_number,title_rank,past_title_rank,paid_point,bonus_point,total_paid_point,total_bonus_point,binary_number_1,binary_number_3,binary_number_5,binary_number_7,riseup_binary_bonus,product_free_bonus,matching_bonus,car_bonus,house_bonus,sharing_bonus
Node_120,7,2,True,Node_58,269,1,0,20790,147050,20790,147050,162,0,0,0,147000,0,50,0,0,0
Node_121,3,2,True,Node_59,137,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_122,7,2,True,Node_59,365,1,0,20790,360000,20790,360000,340,0,0,0,360000,0,0,0,0,0
Node_123,5,2,True,Node_60,149,1,0,20790,69200,20790,69200,84,0,0,0,69000,0,200,0,0,0
Node_124,1,2,True,Node_60,311,1,0,20790,217500,20790,217500,226,0,0,0,217500,0,0,0,0,0
Node_125,1,2,True,Node_61,169,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_126,5,2,True,Node_61,231,1,0,20790,200050,20790,200050,212,0,0,0,200000,0,50,0,0,0
Node_127,5,2,True,Node_62,121,1,0,20790,37500,20790,37500,50,0,0,0,37500,0,0,0,0,0
Node_128,5,2,True,Node_62,123,1,0,20790,95000,20790,95000,110,0,0,0,95000,0,0,0,0,0
Node_129,5,2,True,Node_63,238,1,0,20790,212500,20790,212500,222,0,0,0,212500,0,0,0,0,0
Node_130,1,2,True,Node_63,298,1,0,20790,225000,20790,225000,232,0,0,0,225000,0,0,0,0,0
Node_131,5,0,True,Node_64,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_132,3,0,True,Node_64,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_133,5,2,True,Node_65,227,1,0,20790,0,20790,0,0,0,0,0,0,0,0,0,0,0
Node_134,7,2,True,Node_65,316,1,0,20790,322500,20790,322500,310,0,0,0,322500,0,0,0,0,0
Node_135,1,2,True,Node_66,234,1,0,20790,202550,20790,202550,214,0,0,0,202500,0,50,0,0,0
Node_136,7,2,True,Node_66,411,1,0,20790,405000,20790,405000,376,0,0,0,405000,0,0,0,0,0
Node_137,1,2,True,Node_67,341,1,0,20790,327550,20790,327550,314,0,0,0,327500,0,50,0,0,0
Node_138,1,2,True,Node_67,399,1,0,20790,417500,20790,417500,386,0,0,0,417500,0,0,0,0,0
Node_139,7,2,True,Node_68,104,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_140,3,2,True,Node_68,289,1,0,20790,137000,20790,137000,152,0,0,0,137000,0,0,0,0,0
Node_141,7,0,True,Node_69,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_142,1,0,True,Node_69,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_143,5,0,True,Node_70,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_144,1,0,True,Node_70,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_145,5,0,True,Node_71,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_146,3,0,True,Node_71,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_147,5,0,True,Node_72,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_148,3,0,True,Node_72,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_149,7,0,True,Node_73,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_150,5,0,True,Node_73,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_151,7,0,True,Node_74,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_152,7,0,True,Node_74,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_153,1,0,True,Node_75,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_154,7,0,True,Node_75,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_155,1,0,True,Node_76,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_156,3,0,True,Node_76,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_157,3,2,True,Node_77,130,1,0,20790,77200,20790,77200,92,0,0,0,77000,0,200,0,0,0
Node_158,1,2,True,Node_77,188,1,0,20790,127000,20790,127000,142,0,0,0,127000,0,0,0,0,0
Node_159,5,2,True,Node_78,191,1,0,20790,171000,20790,171000,186,0,0,0,171000,0,0,0,0,0
Node_160,3,2,True,Node_78,91,0,0,20790,50,20790,50,-2,0,0,0,0,0,50,0,0,0
Node_161,3,2,True,Node_79,132,1,0,20790,91200,20790,91200,106,0,0,0,91000,0,200,0,0,0
Node_162,5,2,True,Node_79,125,1,0,20790,81600,20790,81600,96,0,0,0,81000,0,600,0,0,0
Node_163,1,2,True,Node_80,178,1,0,20790,157050,20790,157050,172,0,0,0,157000,0,50,0,0,0
Node_164,5,2,True,Node_80,129,1,0,20790,77250,20790,77250,92,0,0,0,77000,0,250,0,0,0
Node_165,7,0,True,Node_81,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_166,7,0,True,Node_81,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_167,1,0,True,Node_82,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_168,1,0,True,Node_82,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_169,3,2,True,Node_83,131,1,0,20790,79100,20790,79100,94,0,0,0,79000,0,100,0,0,0
Node_170,5,2,True,Node_83,160,1,0,20790,95350,20790,95350,110,0,0,0,95000,0,350,0,0,0
Node_171,7,0,True,Node_84,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_172,1,0,True,Node_84,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_173,1,2,True,Node_85,147,1,0,20790,99000,20790,99000,114,0,0,0,99000,0,0,0,0,0
Node_174,7,2,True,Node_85,85,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_175,1,2,True,Node_86,107,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_176,1,2,True,Node_86,69,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_177,5,0,True,Node_87,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_178,7,0,True,Node_87,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_179,1,0,True,Node_88,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_180,1,0,True,Node_88,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_181,5,2,True,Node_89,96,1,0,20790,65000,20790,65000,80,0,0,0,65000,0,0,0,0,0
Node_182,1,2,True,Node_89,157,1,0,20790,61200,20790,61200,76,0,0,0,61000,0,200,0,0,0
Node_183,3,2,True,Node_90,148,1,0,20790,113650,20790,113650,128,0,0,0,113000,0,650,0,0,0
Node_184,1,2,True,Node_90,158,1,0,20790,133200,20790,133200,148,0,0,0,133000,0,200,0,0,0
Node_185,1,2,True,Node_91,183,1,0,20790,129000,20790,129000,144,0,0,0,129000,0,0,0,0,0
Node_186,3,2,True,Node_91,159,1,0,20790,133200,20790,133200,148,0,0,0,133000,0,200,0,0,0
Node_187,1,0,True,Node_92,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_188,7,0,True,Node_92,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_189,1,0,True,Node_93,0,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_190,7,0,True,Node_93,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_191,7,0,True,Node_94,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_192,1,0,True,Node_94,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_193,5,2,True,Node_95,82,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_194,3,2,True,Node_95,165,1,0,20790,139400,20790,139400,154,0,0,0,139000,0,400,0,0,0
Node_195,7,2,True,Node_96,187,1,0,20790,165050,20790,165050,180,0,0,0,165000,0,50,0,0,0
Node_196,5,2,True,Node_96,159,1,0,20790,133000,20790,133000,148,0,0,0,133000,0,0,0,0,0
Node_197,1,2,True,Node_97,176,1,0,20790,149000,20790,149000,164,0,0,0,149000,0,0,0,0,0
Node_198,5,2,True,Node_97,165,1,0,20790,83100,20790,83100,98,0,0,0,83000,0,100,0,0,0
Node_199,3,2,True,Node_98,198,1,0,20790,165000,20790,165000,180,0,0,0,165000,0,0,0,0,0
Node_200,1,2,True,Node_98,175,1,0,20790,145050,20790,145050,160,0,0,0,145000,0,50,0,0,0
Node_201,5,2,True,Node_99,193,1,0,20790,163350,20790,163350,178,0,0,0,163000,0,350,0,0,0
Node_202,7,2,True,Node_99,157,1,0,20790,103250,20790,103250,118,0,0,0,103000,0,250,0,0,0
Node_203,7,2,True,Node_100,186,1,0,20790,135000,20790,135000,150,0,0,0,135000,0,0,0,0,0
Node_204,5,2,True,Node_100,59,0,0,20790,300,20790,300,-2,0,0,0,0,0,300,0,0,0
Node_205,3,2,True,Node_101,76,0,0,20790,200,20790,200,-2,0,0,0,0,0,200,0,0,0
Node_206,3,2,True,Node_101,92,1,0,20790,0,20790,0,0,0,0,0,0,0,0,0,0,0
Node_207,1,0,True,Node_102,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_208,7,2,True,Node_102,87,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_209,7,2,True,Node_103,170,1,0,20790,147200,20790,147200,162,0,0,0,147000,0,200,0,0,0
Node_210,3,2,True,Node_103,99,0,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
Node_211,3,2,True,Node_104,160,1,0,20790,139400,20790,139400,154,0,0,0,139000,0,400,0,0,0
Node_212,3,2,True,Node_104,175,1,0,20790,153200,20790,153200,168,0,0,0,153000,0,200,0,0,0
Node_213,5,0,True,Node_105,0,1,0,20790,0,20790,0,-2,0,0,0,0,0,0,0,0,0
